start,count,field
0,4,var_length
4,6,usaf_id
10,5,wban
15,8,date
23,4,gmt
27,1,data_source
28,6,lat
34,7,long
41,5,report_type
46,5,elev
51,5,call_letters
56,4,qc_level
60,3,wind_dir
63,1,wind_dir_flag
64,1,wind_type
65,4,wind_speed
69,1,wind_speed_flag
70,5,sky_ceiling
75,1,sky_ceil_flag
76,1,sky_ceil_determ
77,1,sky_cavok
78,6,visibility
84,1,vis_flag
85,1,vis_var
86,1,vis_var_flag
87,5,air_temp
92,1,air_temp_flag
93,5,dew_point
98,1,dew_point_flag
99,5,sea_lev_press
104,1,sea_levp_flag
999,0,END-OF-TABLE
